Serial_no,Group_id,source doc_code,acquirer_name,acquirer_ISIN code,acquirer_GV key,acquirer_country,ticker_symbol_acquirer,PERMNO,date_of_press_report,target_firm_name,target_firm_country,Heading,Text
1,1,AIU1,8x8,US2829141009,65021,USA,EGHT,85177,25-05-2018,MarianaIQ,USA,8x8 Acquires MarianaIQ to Strengthen AI Capabilities for Enterprise Communications,"8x8, Inc.(NYSE:EGHT), a leading provider of cloud phone, meeting, collaboration and contact center solutions,announced the acquisition of MarianaIQ (MIQ), a high-growth Silicon Valley startup, as part of the strategic investments it has been making in AI and Machine Learning. MIQ brings deep learning capabilities to the newly announced X Series to transform both employee and customer experience. The MIQ team, including founders Soumyadeb Mitra and Venkat Nagaswamy, have been leaders in applying AI and deep learning to practical business problems since 2013, and join 8x8 to strengthen AI capabilities for enterprise communications.""8x8 has continuously evolved itself to provide best-in-class enterprise communications to our customers.With the acquisition of MarianaIQ, we are fundamentally transforming how customers and employees interact through one system of engagement, and how companies optimize valuable moments of customer engagement with one set of data in one system of intelligence,"" said Dejan Deklich, Chief Product Officer,8x8. ""We are thrilled to add top notch AI talent to strengthen 8x8's market leadership in the $40 billion-dollar enterprise engagement management market.""Customer experience is the CIOs' new battlefield. According to Gartner's 2018 CIO Agenda Survey, nearly half of CIOs plan to deploy artificial intelligence to improve customer experience. The 8x8 AI and Machine Learning team will help CIOs win the customer experience battle with these key capabilities: Context-rich Customer Engagements: The 8x8 AI team will enhance the X Series single System of Intelligence Platform to weave in contextual personalization for omni-channel services. By infusing MIQ's deep learning capabilities into 8x8's X Series, contact center agents can have detailed information on previous interactions, complete customer history, and a 360-degree context before they even start a conversation. Intelligent Call Routing: 8x8's AI capabilities will bring intelligent call routing to call centers. As a critical component of the customer experience transformation, intelligent routing will identify the caller and the reason for the call to assign the customer to the right agent, executive or subject matter expert. This significantly speeds first-call resolution and transforms the overall customer experience. Speech Analytics: Voice of the customer insights enable companies to optimize customer experiences through data-driven decisions. With powerful Speech Analytics enabled by 8x8, companies can now analyze customer interactions for compliance, deeper insights, and agent performance purposes. 8x8's Speech Analytics powered by Natural Language Processing technology can help agents, inside sales, and customer success teams effectively identify upsell opportunities or escalate at-risk customers to the highest-level of service.""Acquisitions remain a key part of our strategy to continuously innovate and disrupt the enterprise communications space,"" said Bryan Martin, CTO, 8x8. ""We acquired Sameroom last year to enhance our team collaboration capabilities, and we are one of the very few players offering an interoperable chat system that can speak to Slack, Stride, and other enterprise-level chat applications. The acquisition of MarianaIQ is the right investment in making X Series, a single system of engagement and intelligence to deliver exceptional experience for both employees and customers."""
2,2,AIE1,Accenture,IE00B4BNMY34,143357,Ireland,ACN,91814,12-01-2019,Knowledgent,USA,Accenture Buys US Data Intelligence Firm Knowledgent,"Global management consultancy Accenture has acquired US data intelligence company Knowledgent for an undisclosed sum. Knowledgent uses machine learning and AI technologies to support clients through `digital transformation`programs. The firm`s Artificial Intelligence Lab is a hub for research, innovation, and collaboration on digital disruption technologies such as AI, machine learning, and Internet of Things (IoT). Based in New Jersey, it employs more than 300 `informationists` who provide data strategy, architecture, engineering and management solutions.Bhaskar Ghosh (pictured), Group CEO, Accenture Technology Services, comments: `We are in the midst of a data revolution, powered by new technologies. Enterprises are using data to gain deep insights into all aspects of their businesses and customers, and build a strong competitive advantage to gain market share. With the acquisition of Knowledgent, we can accelerate our data services to clients, using Knowledgent`stop-notch talent, industry experience and proven data solutions`."
3,2,AIE2,Accenture,IE00B4BNMY34,143357,Ireland,ACN,70308,07-11-2018,Intrigo Systems,USA,Accenture acquires SAP partner Intrigo,"Accenture has acquired Intrigo Systems, a U.S.-based SAP partner. This is Accenture second acquisition in recent days part of a $1 billion M&A push across digital, cloud and security services that CEO PierreNanterme announced in December 2016. Intrigo provides advisory and systems integration services for SAP enterprise and cloud solutions in e-commerce, supply chain, and procurement. Financial terms were not disclosed. Intrigo, founded in 2009, brings additional resources in key SAP supply chain areas like SAPs Integrated Business Planning and SAP Ariba Supply Chain Collaboration, Accenture said. The net result: Accenture gains expertise to help enhance customers supply chain management through better real-time collaboration with suppliers, the company says.This comes as more companies turn their eyes toward the supply chain function to better serve their customers.We are in the era of the intelligent supply chain, where technologies such as artificial intelligence (AI),automation and analytics allow the supply chain to serve as a growth engine as it connects to all elements seamlessly, with a focus on delivering value, said Bhaskar Ghosh, group chief executive, Accenture Technology Services. Intrigo has a long standing relationship with SAP, having helped create and develop the SAP Integrated Business Planning and SAP Advanced Planning and Optimization solutions. They also worked with SAP and Microsoft to build and deploy the SAP Ariba Supply Chain Collaboration solution."
4,2,AIE3,Accenture,IE00B4BNMY34,143357,Ireland,ACN,87299,22-07-2015,Chaotic Moon,USA,,"US-based management consulting, technology services and outsourcing company Accenture(NYSE: ACN) has acquiredUS-based creative technology studio Chaotic Moon, the company said on Wednesday. Terms of the transaction were not disclosed. Austin-based Chaotic Moon has capabilities in experience strategy, digital design, prototyping, and development. The acquisition provides Accenture Interactive with expanded rapid prototyping and creative technology capabilities, as well as a regional foothold in the talent-rich Texas market. Founded in 2010, Chaotic Moon is based in Austin and recently announced plans to open a second office in Dallas. The fast-growing company made its name by creating transformational digital products for popular brands, including Disney, Marvel, and others. Earlier this month, Accenture acquired PacificLink Group, an independent set of full service digital agencies in Hong Kong. Prior to that, it acquired Brightstep, a Swedish provider of digital content and commerce solutions.In May, it opened the Accenture Interactive Innovation Center in Sophia Antipolis, France, which provides leading brands an environment to experience the impact of social media and artificial intelligence on customer service, marketing campaigns and the entire customer experience"
5,2,AIE4,Accenture,IE00B4BNMY34,143357,Ireland,ACN,87299,03-07-2015,Brightstep,Sweden,,"Accenture(NYSE:ACN) has acquired Brightstep, a Swedish digital consulting company specializing in digital content and commerce solutions, strengthening its digital marketing and commerce services provided through Accenture Interactive. As a result of the acquisition, Accenture clients will have access to a greater number of professionals trained in leading digital commerce solutions from Intershop, hybris software and Adobe. Terms of the transaction were not disclosed.""We're seeing many European companies across industries including retailers and industrial equipment manufacturers ramping up their investments in digital content and commerce and they're looking for us to help them transform the digital customer experience,"" said Anatoly Roytman, managing director, Accenture Interactive, Europe, Africa, Latin America and global digital commerce lead. ""With the acquisition of Brightstep, we're expanding our end-to-end capabilities to help clients develop the digital content and commerce strategies and platforms they need to provide supreme brand and buying experiences to customers.""Karl Moberg, CEO and co-founder of Brightstep, said, ""Over the past 14 years, we've built an exceptionally strong team at Brightstep and we're proud to join Accenture, a recognized global leader for digital services.Our combined expertise will allow us to deliver transformational digital commerce solutions to even more organizations. As part of Accenture Interactive, we can now provide our existing clients with digital marketing, commerce and content services at global scale and with even broader in-depth industry experience.""Brightstep, founded in 2001 and based in Stockholm, Sweden, is the most recent in a series of acquisitions that have strengthened and expanded Accenture Interactive's end-to-end consulting and technology services for brand leaders and chief marketing officers globally. Earlier this year, Accenture completed the acquisition of Reactive Media Pty Ltd, one of Australia's largest independent digital agencies. In 2013, Accenture acquired Fjord, a design and innovation agency with presences in Europe, the U.S. and Latin America. Alsoin 2013, Accenture acquired Acquity Group, adding significant skills and scale in omni-channel commerce services and leading digital platforms, such as hybris and Adobe, in the U.S. Reactive, Fjord and Acquity Group are all part of Accenture Interactive.The acquisition of Brightstep is another in a series of moves Accenture Interactive has taken this year to strengthen its digital marketing and commerce capabilities. In May, it opened the Accenture Interactive Innovation Center in Sophia Antipolis, France, which provides leading brands an environment to experience the impact of social media and artificial intelligence on customer service, marketing campaigns and the entire customer experience. In March, Accenture and Adobe launched Accenture Customer Engagement, a cloud-based managed service under a pay-per-use model that simplifies the development, execution and measurement of digital marketing to drive marketing ROI. Adobe also recognized Accenture as EMEA Digital Marketing Partner of the Year for the third consecutive year. Similarly, Accenture was named Global Partner of the Year for the second consecutive year by hybris."
6,2,AIE5,Accenture,IE00B4BNMY34,143357,Ireland,ACN,17805,20-04-2013,ChangeTrack Research Pty Ltd,Australia,,"To help its clients better measure and monitor the progress of their change programs, Accenture(NYSE: ACN) has acquired ChangeTrack Research Pty Ltd, a provider of analytics-based tools and services for change management. Terms of the transaction were not disclosed. Among ChangeTrack Research's solutions is ChangeTracking(R), a patented analytics tool based on 10 years of research and advanced mathematical algorithms, that has defined successful pathways for change management. ChangeTracking(R) collects data on people and processes associated with a change program, benchmarks progress and uses predictive analytics to identify where corrective action is needed. The acquisition complements Accenture's suite of methods, tools and capabilities to help its clients achieve the goals of their most significant organizational transformations. ""Organizations often struggle to implement change programs on time and on budget as markets evolve at an accelerating pace,"" said David Smith, senior managing director - Accenture Talent & Organization.""ChangeTrack Research's insight-driven tools will enhance our ability to help our clients manage change with greater precision and more predictable results.""""This acquisition brings together the powerful combination of ChangeTrack Research's analytical approaches to managing change with Accenture's deep expertise delivering large-scale transformation programs for global clients,"" said Warren Parry, CEO - ChangeTrack Research"
7,2,AIE6,Accenture,,,Ireland,ACN,93091,27-12-2014,"Wireless Co., Ltd.",Japan,,"Accenture(NYSE:ACN) is collaborating with Wire and Wireless Co., Ltd. (Wi2) in the wireless service provider's ""TravelJapan Wi-Fi"" initiative that will provide free Wi-Fi service to tourists in Japan and distribute helpful travel and tourism-related information to them on their smartphones and tablets.The initiative, designed to vitalize inbound business geared toward tourists visiting Japan, incorporates an analytics services platform that Accenture and Wi2 announced in November 2013. The platform, called ""IdealInsight,"" is designed for consumer companies in Japan and delivers context-based insights to users based on their locations and the time of day, supporting the creation of new, personalized services.As part of its ""Travel Japan Wi-Fi"" initiative, Wi2 formed a consortium that includes Accenture, other companies in the travel and tourism, financial services, digital communications, retail industries, and municipalities.Accenture will leverage its proprietary advanced analytics approach around the Wi-Fi Intelligent Platform and its wireless networking experience to utilize the ""Ideal Insight"" platform and analyze tourists' geolocation datafrom ""Travel Japan Wi-Fi."" According to the Japan National Tourism Organization, more than 60 percent of visitors to Japan are tourists, and their number is expected to grow by 2020. Accenture will also provide analytics insights - through capabilities such as estimating users' attribution information by artificial intelligence - to help consortium members deliver more effective, accurate marketing communications to the growing number of tourists in Japan.""Travel Japan Wi-Fi"" will enable tourists in Japan to sign up for free Wi-Fi connectivity at more than 200,000 Wi2 hotspots nationwide. Users who download the free ""Travel Japan Wi-Fi"" app on their smartphones or tablets will receive information from the ""Travel Japan-Wi-Fi"" consortium members. The information will include special offers for products or services, travel and tourism recommendations, product recommendations, coupons or reward points, all based on users' where abouts and the time of day. Under the ""Travel Japan Wi-Fi"" project, Wi2 plans to distribute the free app via Google(R) Play and the AppStore(SM) starting on Dec. 12.""In today's digital, mobile world, communications companies such as Wi2 must engage with their customers wherever they are and provide an excellent customer experience with relevant services in the right time andplace over mobile devices,"" said Takuya Kudo, Accenture managing director and lead for Accenture Analyticsin Japan. ""Wi2's initiative incorporates a broad range of capabilities across Accenture, including analytics,wireless networking and skills in managing and distributing data and this is a significant milestone in Wi2'sjourney to capitalize on data and analytics.""The Accenture and Wi2 analytics platform combines anonymized, real-time geolocation data for Wi-Fi user sessions from Wi2's Wi-Fi access points with an advanced big data analytics technology infrastructure, provided by Accenture Analytics and incorporating OSS (Open Source Software), such as Apache(TM) Hadoop(R) V2, Apache Spark(TM) and Cloudera(R) Impala, which process large data sets and provide data-based insights in real time."
8,3,AIU2,Accuray Incorporated,US0043971052,176670,USA,ARAY,15410,04-08-2012,"Morphormics, Inc.",USA,,"Accuray Incorporated (Nasdaq: ARAY), the premier radiation oncology company, announced that they have signed a definitive agreement to acquire Morphormics, Inc., a privately held company founded by University of NorthCarolina at Chapel Hill faculty members based on their research in auto segmentation of medical images. Morphormics develops medical imaging software systems that automatically recognize and extract anatomical structures from medical images. The agreement provides that Accuray will pay approximately $5.7 million. In 2008, Accuray began licensing Morphormics' auto contouring technology, which automatically identifies and draws the boundaries of the prostate and surrounding critical structures. This enables the treatment planning software to focus the radiation dose on the prostate and minimize the delivery of radiation to surrounding critical structures. With the acquisition of Morphormics, Accuray plans to extend auto contouring capabilitiesfor both the CyberKnife(R) Robotic Radiosurgery System and the TomoTherapy(R) System to improve disease specific workflows.""Since our licensing agreement with Morphormics began, we have seen first hand the benefits the company's technology provides clinicians in improving efficiency, especially in the treatment of prostate cancer, and its potential to improve patient outcomes,"" said Euan S. Thomson, Ph.D., Accuray president and chief executive officer. ""The acquisition of Morphormics will expand Accuray's IP portfolio, reduce our licensing expenses and strengthen our engineering team with top talent from the University of North Carolina at Chapel Hill. This strategic acquisition is another important step toward providing leading-edge treatment solutions personalized for each cancer patient."""" This is an exciting opportunity for our company that will bring the benefits of our technology to more patients,"" said Edward Chaney, Ph.D., co-founder of Morphormics and professor of Radiation Oncology and Biomedical Engineering at the University of North Carolina at Chapel Hill. ""Accuray's acquisition confirms the value our technology offers in its ability to dramatically increase efficiency and accuracy in the delivery ofimage-guided medical treatment. We look forward to joining the Accuray team and further advancing innovation in this area."""
9,4,AIE7,AcuityAds Holdings Inc.,CA00510L1067,#REF!,Canada,AT,14593,20-06-2018,ADman Media,Spain,AcuityAds Completes the Acquisition of ADman Media and Closes a New $7.3 million Term Loan,"AcuityAds Holdings Inc., a technology leader that provides targeted digital media solutions by leveraging its proprietary AI technology to enable advertisers to connect intelligently with audiences across video, mobile, social and online display advertising campaigns, is pleased to announce that it has completed the previously announced acquisition of ADman Interactive S.L.  the largest video Supply Side Platform (SSP) for Spanish-speaking markets in Europe and
Latin America, and has closed a new CDN$7.3 million term loan. Under the terms of the definitive agreement, the Company has acquired 100% of ADman Media for approximately EUR1.8 million in cash, approximately EUR0.5 million worth of shares of AcuityAds (the 'Shares') being paid at closing (which is subject to post-closing working capital adjustments) and an earn-out with a maximum payout of EUR12.0 million based on certain financial targets for the calendar years 2018, 2019 and 2020. The Company believes the acquisition of ADman Media: Expands the Company's total addressable market by entering the publisher-direct video supply market; Provides complementary and incremental revenue opportunities for the Company to leverage ADman Media's unique inventory and video ad streaming platform in the U.S., which is the second largest Spanish-speaking country in the world, according to the Instituto Cervantes and Extends the Company's global footprint across 9 additional markets in Europe, Latin America
and the U.S. The Company intends to leverage its expanded global footprint to position itself as the premiere advertising platform for brands seeking to reach Spanish-speaking audiences in Europe, Latin America and the United States. In addition to this existing market opportunity, the Company intends to extend this unique and differentiated technology offering beyond Spanish-speaking markets. The Company has also obtained a CDN$7.3 million subordinated term loan (the 'Loan') from a group of
private lenders (the 'Lenders'). The Loan was made pursuant to a credit agreement dated as of June 15, 2018, between a subsidiary of the Company, and the Lenders (including certain executives and directors of the Company, as well as other arm's length and non-arm's length parties). The Company is using the funds from the Loan to complete the Adman Media acquisition (approximately CDN$2.7 million), repay approximately CDN$0.8 million of existing higher-cost term loans, and for general corporate purposes
including funding continued growth. The Loan is subordinate to the Company's existing credit facility with Silicon Valley Bank and has a term of two years. The Loan accrues interest at the rate of 12.0% per annum and, subject to the final approval of the TSX Venture Exchange (the 'TSXV'), the Lenders were issued an aggregate of 2,420,990 warrants (the 'Warrants') as bonus warrants in connection with the Loan. Each Warrant entitles the Lender to acquire one Share for a period of two years at an exercise price of CDN$1.01, which represents the closing price of the Shares on June 14, 2018.AcuityAds also agreed to pay a nominal fee to two eligible finders assisting in the
Loan. 'We are thrilled to be adding ADman Media and its team to the AcuityAds family. Adman Media's supply side offerings are very complementary to our demand side offerings and together provide publishers and advertisers a more holistic and powerful suite of solutions to enable more effective execution of their digital advertising initiatives,' stated Tal Hayek, CEO and Co-founder of AcuityAds. 'This acquisition also expands our global footprint and provides incremental revenue growth opportunities in the U.S. market by leveraging ADman Media's unique inventory and video ad streaming platform. In addition, we are pleased to have secured this new Loan which validates the tremendous opportunity in our business going forward.' The acquisition of ADman Media and the Loan remain subject to the final approval of the TSXV. The Shares
issued in connection with the ADman Media acquisition and the Warrants are subject to a statutory four month hold period. A material change report in respect of the Loan will be filed by the Company. The material change report will be filed less than 21 days prior to the closing of the transactions, which is consistent with market practice and the Company deems reasonable in the circumstances."
10,5,AIU3,Airgas Inc,US0093631028,12950,USA,ARG,14593,13-06-2011,ABCO Gases ,USA,,"Airgas, Inc.  announced it has completed the acquisition of ABCO Gases, Welding and Industrial Supply Company, Inc. (""ABCO""). The Waterford, CT-based business serves medical and industrial customers with high-purity gases, liquid gases, specialty gas mixes, protocol gases, as well as industrial welding and cutting equipment, and automated and robotic welding solutions. With locations in Connecticut, Massachusetts, Rhode Island, and New Hampshire, and more than 100 employees, ABCO generated annual revenues of about $35 million in 2010. ABCO locations and employees are now part of Airgas East operations. There are 12 ABCO New England locations that include a headquarters, retail stores, a fill plant and an equipment service center.""ABCO has been a family owned business since 1921 and is a well-respected name throughout NewEngland,"" said Tony Simonetta, president of Airgas East. ""They support the same industries as Airgas,including shipyards, steel fabricators, hospitals, pharmaceutical companies, and defense contractors. This acquisition is a natural and complimentary fit for both Airgas and ABCO, and is a win-win for the customers and employees of both companies.""""ABCO and its employees have worked hard for the past 90 years to steadily grow this business and earn the respect of customers,"" said Mike Ross, former ABCO president, who has joined the Airgas East management team. ""Founded and owned by the McCourt family since 1921, ABCO employs more than 100 people. Essentially we were a large 'family', working as a team to provide the needed solutions for our customers. I'm very proud of everyone at ABCO and what we've accomplished. Our values of focusing on and serving the customer and our culture match those of Airgas. We are looking forward to continuing and expanded successas we join forces with the nation's industry leader in packaged gases.""ABCO specialists have an average of 32 years of industry experience. In addition to providing industrial, medical, and pharmaceutical gas products, ABCO offered welding and cutting equipment and supplies,welding equipment repair and service, and a complete line of safety products and accessories. ABCO also offered an extensive automation and robotics program for welding and cutting applications"
