ID,Date,Aquirer,Aquired,Heading,Text
1,05-Mar-19,Amazon,Harvard hospital,Amazon uses AI to take care of Harvard hospital's admin,"AMAZON has moved to strengthen its ties with America's powerful healthcare industry through a new research programme with a Harvard teaching hospital.The Seattle company announced a deal yesterday to use its artificial intelligence to help cut hospital administrative costs and boost efficiency at the Beth Israel Deaconess Medical Centre in Boston. Amazon's technology is designed to streamline the daily grind of care, from mundane paper work to scheduling appointments and bed space.It is Amazon's latest push into healthcare after it announced a joint venture with Berkshire Hathaway andJPMorgan Chase to cut health insurance costs for their combined 1m workers.The company's work with Harvard will see machine learning technology used for automatically scanning and filing documents, updating health records and managing hospital beds, appointments and waiting times. Other US tech giants are investing in healthcare. Apple has marketed its Apple Watch devices to insurers as a way to better keep track of user healthcare."
2, 9 January 2019,AppFolio,Dynasty Marketplace,AppFolio Acquires Advanced Artificial Intelligence Technology Provider,"AppFolio, Inc. (NASDAQ: APPF), a leading provider of cloud-based business software solutions in the real estate and legal markets, today announced the acquisition of Dynasty Marketplace, Inc.(Dynasty), a leading provider of advanced artificial intelligence (AI) solutions for the real estate market. Dynasty offers advanced conversational AI solutions that automate leasing communications, replace manual tasks and help customers grow their portfolios. Dynastys technology is designed to enable operational efficiency in the leasing process including consistent prospect experience, lead conversion, and improved market insights. Dynasty will continue to offer its customers advanced conversational AI solutions, including LISA, a leasing AIoffering that responds to inquiries via text messages and email and manages scheduling for onsite showings. LISA integrates with a variety of property management platforms, automatically entering prospect and on site showing information to improve efficiency and accuracy. AppFolio believes that the acquisition of Dynasty strengthens AppFolios system of intelligence capabilities,with the ability to offer advanced AI services to real estate customers. As part of the acquisition, Dynastys team will join AppFolio, to further help develop AppFolios AI products and services for the real estate vertical market."
3,08-Feb-19,avalara,Indix,Avalara buys AI startup Indix,"Tax automation solutions provider Avalara has acquired Seattle startup Indix, which makes artificial intelligence technology, highlighting the growing importance of AI in the tax and accounting software space, as it develops to a point where it can be applied in specific and useful ways. This acquisition comes hot on the heels of Avalara’s purchase of Compli, which provides alcohol industry compliance services. Terms of the Indix deal were not disclosed. Avalara intends to use the Indix AI to maintain and expand its tax content database, which includes international product codes and classifications, taxability rules, exemption conditions, tax holidays, jurisdictions, boundaries, tax rates, thresholds, registration, compliance, and return preparation and filing requirements. According to Avalara, maintaining tax content and global product information is difficult and resource-intensive, requiring specialized technology, expertise, and human resources. Collecting new contentand tracking changes can be a highly manual process — by applying Indix’s AI to this problem, Avalara believes it will be able to automate the aggregation and accurate maintenance of its tax content.“Global taxing authorities govern compliance through ever-changing rules and requirements, and the task of gathering and maintaining this data is core to the value Avalara provides,” said Scott McFarlane, co-founder and CEO of Avalara, in a statement. “We believe the combination of deep product knowledge, broad product content, and artificial intelligence technology will allow us to provide our customers the information they wantand need to factor compliance into their business decision-making, and for Avalara to address more compliance requirements to support their growth.”“Avalara and Indix share a similar global vision,” added Sanjay Parthasarathy, CEO of Indix. “From Day One,we built Indix to collect, organize, and structure the world’s product information using artificial intelligence.With the addition of the Indix expertise, Avalara will be able to efficiently and rapidly refine its content to meetthe expanding and evolving needs of its customers.”"
4,05-Jun-18,Black Knight,HeavyWater,Black Knight seeks AI might with HeavyWater deal,"Black Knight has acquired HeavyWater, a developer of artificial intelligence and machine learning technology for the mortgage industry, and plans to incorporate the startup's borrower data verification and other automation capabilities into its existing product suite.""AI, machine learning and neural network solutions are the future of delivering enhanced productivity and capabilities to our clients, and we are very excited about the potential HeavyWater has to offer,"" Black KnightCEO Anthony Jabbour said in a press release. ""Now, with HeavyWater a part of Black Knight, we'll be able to apply this ground breaking technology at scale and pursue our shared goal of transforming the industry.""The acquisition price was not disclosed.HeavyWater has been using its AIVA technology to help lenders verify income, assets and insurance. The Philadelphia company's CEO, Soofi Safavi, was the chief technology officer at the mortgage insurer Radian,also of Philadelphia, from 2010 to 2015.""Our focus has always been on pioneering research in machine learning and artificial intelligence and applying it to the financial services industry,"" Safavi said in the press release. ""By using sophisticated neural networks and 'contextual knowledge' to continuously improve AIVA's learning and performance, we've helped our clients save money, increase efficiencies and reduce turn time.""Verification of income and assets has been a hot topic in the mortgage industry in part because Fannie Maeis offering immediate representation and warranty relief based on it when offered by approved vendors through its Day 1 Certainty program. Black Knight is an approved integration technology provider for Day 1 Certainty. Income and asset verification also is considered a key component of lender strategies aimed at offering more efficient digital mortgages that offer an improved customer experience."
5,27-Feb-19,blackberry,Cylance,BlackBerry buys AI cybersecurity firm Cylance for $1.4bn,"BlackBerry has completed its $1.4 billion acquisition of Cylance, a privately-held artificial intelligence (AI) and cybersecurity company based in Irvine, California. The acquisition was first discussed in November 2018. Cylances machine learning and AI technology will be used for BlackBerrys end-to-end communications portfolio. Notably, BlackBerry explains that Cylances embeddable AI technology will be used for the development of BlackBerry Spark, its communications platform for the internet of things (IoT). Today BlackBerry took a giant step forward toward our goal of being the worlds largest and most trusted AI-cybersecurity company, says John Chen, executive chairman and CEO, BlackBerry .He adds: Securing endpoints and the data that flows between them is absolutely critical in todays hyper connected world. By adding Cylances technology to our arsenal of cybersecurity solutions we will help enterprises intelligently connect, protect and build secure endpoints that users can trust.There was no mention of any job cuts, but the company did note that as the president of BlackBerry Cylance,Stuart McClure will continue to apply his visionary math-based approach to threat detection, prevention, and response, as well as lead the business large team of highly-skilled engineers and data scientists. BlackBerry works in a variety of sectors such as education, government and healthcare but in terms of fintech it operates in banking and insurance."
6,16-Oct-19,Cognex,Sualab,Cognex Acquires SUALAB to Advance its Leadership in Deep Learning-Based Machine Vision,"Acquisition extends company's deep learning capabilities and accelerates opportunities to automate difficult visual inspection tasks in industrial markets Cognex Corporation (NASDAQ: CGNX), the leader in machine vision for factory automation and industrial barcode reading, today announced the acquisition of SUALAB, a leading Korean-based developer of vision software using deep learning for industrial applications.The addition of SUALAB's engineering team and intellectual property is expected to enhance Cognex's existing deep learning capabilities based on technology acquired from ViDi Systems in April of 2017.""Deep learning enables Cognex to solve many challenging inspection applications in factories, which, until now, could only be done by large teams of human visual inspectors,"" said Robert J. Willett, President andCEO of Cognex. ""SUALAB's considerable IP, engineering expertise, and extensive market coverage will help us to serve a fast-growing market, primarily in Asia. Today, tens of thousands of people perform difficult,tedious and error-prone visual inspections for flaws and defects on electronic components and subsystems which will be done more reliably and at lower cost in the future with deep learning-based machine vision.""Dr. Robert J. Shillman, Cognex's founder and Chairman said, ""We're very excited to welcome the SUALAB team to Cognex; they are a great fit for our work hard, play hard and move fast culture.""Headquartered in Seoul, Korea, SUALAB was co-founded in 2013 by Song Kiyoung, who will join Cognex and help lead the world's largest team of engineers specializing in the use of deep learning for industrial machine vision applications.""Our goal at SUALAB has been clear since our founding-to be the global leader in deep learning-based vision inspection,"" said SUALAB CEO and co-founder, Song Kiyoung. ""By joining Cognex, we have reached that goal, and together, we plan to accelerate our efforts to help more customers solve even the most complex vision applications faster, easier and more cost-effectively."
7,17-Oct-19,SailPoint Technologies,,SailPoint Technologies acquires two startups,"Austin-based SailPoint Technologies has acquired two startups — for a total of $37.5 million — in a bid to to improve its cybersecurity services for cloud-based systems.The Austin-based company completed deals to acquire San Jose, Calif.-based Orkus, and Colorado-basedOverWatchID on Tuesday, according to securities filings. The company announced the two acquisitions with a Wednesday news release.“With these two acquisitions, SailPoint is delivering on its mission to help organizations govern access to all applications, including the rapidly emerging cloud infrastructures on which their digital business are built,”SailPoint’s chief product officer Paul Trulove said in a written statement. SailPoint says it plans on integrating Orkus and OverWatchID into its “SailPoint Predictive Identity” platform,which rolled out in June.The predictive identity platform uses artificial intelligence and machine learning technology to streamline acompany’s identity processes. The platform identifies users’ needs, potential weaknesses and risky behaviors, according to the company SailPoint is expecting the integration to take place in the first half of next year, according to the company.“By deepening the governance of cloud infrastructures, we are expanding the definition and scope of what an identity governance platform should be capable of managing,” Trulove said. “SailPoint Predictive Identity is the comprehensive next generation cloud identity platform that organizations require today.”SailPoint is not expecting to generate extra revenue from the two acquisitions before the end of 2019. SailPoint has specialized in identity and access management software since it was founded in 2005. The company went public in 2017 with an initial public offering. In an conversation earlier this year with the American-Statesman, Mark McClain, one of SailPoint’s co-founders, said the company is looking at increasing its reach globally, in addition to adding more engineers to the team.The company, with about 500 employees in Austin, serves more than 1,000 customers around the world,including Humana and PricewaterhouseCoopers, according to its website. In February 2018, SailPoint began leasing a 165,000-square-foot building in the Four Points Centre office complex in Northwest Austin."
8,15-Dec-16,Salesforce,RedWood City,Salesforce scoops up Silicon Valley mobile app management startup,"Salesforce has acquired a Redwood City startup that helps mobile apps perform better, the latest in a $5 billion string of acquisitions it's made this year. The San Francisco enterprise cloud software company didn't disclose financial details involved in the deal that was announced on the website of the acquired business, Twin Prime. The startup, led by CEO Katrik Chandrayana, had raised about $11.5 million since it was founded in 2011 and was valued at $25 million in its last round of funding in March 2015. Its investors include Draper Fisher Jurvetson and True Ventures. Twin Prime uses a proprietary machine learning engine to help reduce latency of mobile apps. The deal is the 13th this year by Salesforce (NYSE:CRM), with the largest being its $2.8 billion June acquisition of Massachusetts-based e-commerce software business Demandware. It was involved in the bidding war for LinkedIn before Microsoft scooped up the professional networking business for $26 billion and was also rumored to be mulling a bid for Twitter, which is thought to be worth about $13 billion. Other Bay Area startups bought this year by Salesforce include a $700 million acquisition of San Francisco marketing analytics business Krux in October. It did two big deals in August: a $410 million purchase of San Francisco productivity software business Quip and the $110 million acquisition of San Mateo based analytics startup BeyondCore."
9,08-Oct-19,Sonasoft,"OPtimAIze, Inc.","Sonasoft (SSFT) Completes Acquisition of Artificial Intelligence (AI) Company, OPtimAIze, Inc.","Sonasoft Corp.(OTCQB: SSFT), a leader in innovative artificial intelligence (AI) and data management solutions, today announced that it has completed the acquisition of OPtimAIze, Inc., an Artificial Intelligence software company that focuses on AI solutions for software product engineering teams.  Sonasoft now has the solution to establish itself as a leading provider of AI for software product development. According to the analysts at Statista the enterprise software market alone had a global market size of over$457 billion in 2019. IDC also forecasted that worldwide spending on artificial intelligence (AI) will reach $776billion by 2022. Sonasoft is well-positioned to gain significant market share in a large existing market that is poised to accelerate with an anticipated adoption of AI. The Company also intends to integrate OPtimAIze'splatform into Sonasoft's existing AI platform, NuGene.OPtimAIze's AI platform has unique capabilities that automatically identify and manage risk associated with developing and releasing software updates to an existing software product or platform. Sometimes these updates adversely impact the product's functionality, which in turn negatively impact customer satisfaction and brand reputation. Managing these risks and determining how these updates interact with the product as a whole is a big challenge. Most software development teams are limited to narrow knowledge domains that can miss compatibility problems that can negatively affect users.To counter these challenges, OPtimAIze developed an AI platform that has an exclusive data-driven process that automatically identifies and predicts the risk of compatibility conflicts early in the software development process. As a result, software engineering teams can be confident that their final releases and fixes willfunction as intended.""To advance our AI platform to specifically hone in on solutions for software product development, capitalizes on a significant emerging market opportunity,"" said Vikas Agrawal, Sonasoft's Chief Innovation Officer and founder of OPtimAIze. ""Through our AI-enhanced automation, we can now solve a problem that regularly tests the trust and confidence of information technology users with their technology providers. Our AI platformis built on the latest artificial intelligence (AI) and machine learning (ML) technologies, which provide unprecedented visibility into potential compatibility problems of a software release well before it goes live.This is an area where AI will favorably impact the experience of virtually all technology users while reducing the software industry's direct and indirect costs of maintaining their products. In the last six months, we'vecome a long way since our initial efforts to develop AI solutions for IT infrastructure and operations to expandinto the field of AI for software development.""""Sonasoft has now acquired three AI companies this year with the acquisition of OPtimAIze, well ahead of even our most optimistic expansion scenario,"" said Frank Velasquez, CEO of Sonasoft. ""Those who have ever updated their software and found that key components were no longer working properly, understand the value proposition that our new technology will bring. As software becomes more complex and cybersecurity risks are ever-increasing, the software industry needs to take more proactive software update quality assurance measures to maintain functionality, security, and customer satisfaction. Through this acquisition,Sonasoft is poised to be a leading provider of the solutions that enable them to do that."""
10,25-May-18,8x8,MarianaIQ,8x8 Acquires MarianaIQ to Strengthen AI Capabilities for Enterprise Communication,"8x8, Inc.(NYSE:EGHT), a leading provider of cloud phone, meeting, collaboration and contact center solutions,announced the acquisition of MarianaIQ (MIQ), a high-growth Silicon Valley startup, as part of the strategic investments it has been making in AI and Machine Learning. MIQ brings deep learning capabilities to the newly announced X Series to transform both employee and customer experience. The MIQ team, including founders Soumya deb Mitra and Venkat Nagaswamy, have been leaders in applying AI and deep learning top ractical business problems since 2013, and join 8x8 to strengthen AI capabilities for enterprise communications.""8x8 has continuously evolved itself to provide best-in-class enterprise communications to our customers.With the acquisition of MarianaIQ, we are fundamentally transforming how customers and employees interact through one system of engagement, and how companies optimize valuable moments of customer engagement with one set of data in one system of intelligence,"" said Dejan Deklich, Chief Product Officer,8x8. ""We are thrilled to add top notch AI talent to strengthen 8x8's market leadership in the $40 billion-dollar enterprise engagement management market.""Customer experience is the CIOs' new battlefield. According to Gartner's 2018 CIO Agenda Survey, nearlyhalf of CIOs plan to deploy artificial intelligence to improve customer experience. The 8x8 AI and Machine Learning team will help CIOs win the customer experience battle with these key capabilities: Context-rich Customer Engagements: The 8x8 AI team will enhance the X Series single System of Intelligence Platform toweave in contextual personalization for omni-channel services. By infusing MIQ's deep learning capabilities into 8x8's X Series, contact center agents can have detailed information on previous interactions, complete customer history, and a 360-degree context before they even start a conversation. Intelligent Call Routing:8x8's AI capabilities will bring intelligent call routing to call centers. As a critical component of the customer experience transformation, intelligent routing will identify the caller and the reason for the call to assign the customer to the right agent, executive or subject matter expert. This significantly speeds first-call resolution and transforms the overall customer experience. Speech Analytics: Voice of the customer insights enable companies to optimize customer experiences through data-driven decisions. With powerful Speech Analytics enabled by 8x8, companies can now analyze customer interactions for compliance, deeper insights, andagent performance purposes. 8x8's Speech Analytics powered by Natural Language Processing technology can help agents, inside sales, and customer success teams effectively identify upsell opportunities or escalate at-risk customers to the highest-level of service.""Acquisitions remain a key part of our strategy to continuously innovate and disrupt the enterprise communications space,"" said Bryan Martin, CTO, 8x8. ""We acquired Sameroom last year to enhance ourteam collaboration capabilities, and we are one of the very few players offering an interoperable chat system that can speak to Slack, Stride, and other enterprise-level chat applications. The acquisition of MarianaIQ isthe right investment in making X Series, a single system of engagement and intelligence to deliver exceptional experience for both employees and customers."""
